Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing
2004,56.1,285.0,25,1.15,74.0,4.56,72.0,2.1,583.493514,8.9,0.423,8.1,0,1
2003,55.8,285.0,25,1.35,75.0,4.63,73.0,2.1,519.2922847,9.1,0.416,7.7,0,1
2002,55.6,283.0,25,1.23,76.0,4.27,75.0,2.1,418.6985763,9.3,0.407,7.3,0,1
2001,55.5,281.0,25,1.29,77.0,4.69,76.0,2.1,378.73654,9.5,0.395,6.6,0,1
2000,55.4,279.0,25,1.34,78.0,4.34,78.0,2.0,374.1923942,9.7,0.389,6.4,0,1
2014,69.4,216.0,0,0.01,98.0,3.57,99.0,0.5,2522.7968,15.7,0.596,12.5,0,1
2013,69.1,219.0,0,0.01,97.0,3.83,97.0,0.6,235.882889,15.9,0.589,12.6,0,1
2012,68.7,223.0,0,0.01,97.0,3.7,97.0,0.6,2422.816,16.1,0.581,12.3,0,1
2011,68.3,225.0,0,0.23,95.0,4.73,95.0,0.5,2458.45976,16.3,0.572,11.9,0,1
2010,67.9,228.0,1,0.28,92.0,5.17,91.0,0.5,2178.921383,16.6,0.0,11.4,0,1
2009,67.4,232.0,1,0.17,93.0,6.3,93.0,0.4,177.234497,16.8,0.0,10.9,0,1
2008,67.0,234.0,1,0.21,96.0,6.58,96.0,0.4,1795.18137,17.1,0.0,10.5,0,1
2007,66.5,238.0,1,0.16,93.0,5.88,95.0,0.3,1741.142552,17.3,0.0,10.1,0,1
2006,65.8,245.0,1,0.29,96.0,5.27,95.0,0.3,1335.45696,17.5,0.0,9.6,0,1
2005,65.0,254.0,1,0.73,95.0,5.28,95.0,0.3,1247.61392,17.8,0.0,9.2,0,1
2004,64.2,263.0,1,0.96,9.0,4.41,89.0,0.3,197.45788,18.0,0.0,8.8,0,1
2003,63.3,273.0,1,0.52,96.0,4.9,95.0,0.2,997.7417141,18.3,0.0,8.4,0,1
2002,62.5,282.0,1,0.29,89.0,7.75,86.0,0.1,885.6382245,18.6,0.0,8.0,0,1
2001,61.7,29.0,1,0.14,88.0,5.91,88.0,0.1,87.9387673,18.9,0.0,7.6,0,1
2000,62.0,312.0,1,0.17,98.0,6.91,92.0,0.1,765.8632358,19.2,0.0,7.3,0,1
2014,77.2,89.0,0,4.03,86.0,9.57,86.0,0.1,5193.94932,2.4,0.742,14.2,0,1
2013,77.0,9.0,0,4.12,87.0,9.46,89.0,0.1,535.86555,2.4,0.735,14.2,0,1
2012,76.8,92.0,0,4.61,87.0,9.94,92.0,0.1,4716.673325,2.5,0.728,13.9,0,1
2011,76.9,92.0,0,4.64,89.0,9.71,88.0,0.1,55.156834,2.6,0.711,13.4,0,1
2010,76.4,94.0,0,4.54,9.0,9.58,89.0,0.1,4611.47298,2.6,0.717,13.3,0,1
2009,76.1,97.0,0,4.75,9.0,9.64,9.0,0.1,4697.89732,2.7,0.716,13.3,0,1
2008,76.0,98.0,0,5.13,92.0,8.58,91.0,0.1,575.31664,2.8,0.71,13.1,0,1
2007,75.4,16.0,0,5.16,95.0,8.37,95.0,0.1,418.292176,2.8,0.703,12.9,0,1
2006,75.7,1.0,0,4.82,91.0,8.28,87.0,0.1,344.321698,2.9,0.697,12.7,0,1
2005,75.0,12.0,0,4.56,95.0,8.5,93.0,0.1,2968.41186,2.9,0.0,12.5,0,1
2004,75.5,99.0,0,4.25,87.0,9.4,84.0,0.1,265.642661,3.0,0.0,12.3,0,1
2003,75.2,12.0,0,4.14,87.0,7.94,87.0,0.1,2214.732246,3.0,0.0,12.1,0,1
2002,75.4,11.0,0,3.84,86.0,7.1,8.0,0.1,1761.537647,3.1,0.0,11.9,0,1
2001,74.9,113.0,0,3.85,92.0,7.16,91.0,0.1,1524.41222,3.2,0.0,11.6,0,1
2000,74.6,116.0,0,3.64,87.0,7.9,85.0,0.1,1461.7552,3.3,0.0,0.0,0,1
2014,65.1,268.0,2,0.01,96.0,5.41,95.0,2.3,7497.762376,6.7,0.697,12.6,0,1
2013,64.2,286.0,2,0.01,96.0,5.84,95.0,2.8,77.625783,7.0,0.693,12.6,0,1
2012,63.4,3.0,2,0.01,96.0,6.27,95.0,4.4,729.231453,7.3,0.687,12.5,0,1
2011,62.2,325.0,2,5.76,96.0,5.25,95.0,5.5,7645.21469,7.7,0.678,12.4,0,1
2010,61.1,349.0,2,5.99,96.0,5.64,95.0,6.2,6346.15624,8.0,0.669,12.3,0,1
2009,59.2,393.0,2,5.01,96.0,6.39,96.0,9.0,5185.729845,8.4,0.661,12.2,0,1
2008,57.5,427.0,2,6.56,96.0,5.55,96.0,12.7,5623.379566,8.8,0.646,12.1,0,1
2007,56.9,436.0,2,6.21,96.0,4.71,96.0,13.4,5714.47937,9.2,0.63,12.1,0,1
2006,54.8,491.0,2,6.45,96.0,4.93,96.0,14.4,5374.554867,9.6,0.61,11.9,0,1
2005,51.7,566.0,2,6.37,96.0,5.62,96.0,20.6,5351.253732,1.0,0.593,11.9,0,1
2004,48.1,652.0,2,4.9,96.0,5.56,96.0,28.4,4896.583835,1.5,0.58,11.8,0,1
2003,46.4,693.0,2,5.51,96.0,4.65,96.0,31.9,4163.6596,1.9,0.567,11.8,0,1
2002,46.0,699.0,2,6.41,97.0,6.47,97.0,34.6,355.618382,11.4,0.558,11.9,0,1
2001,46.7,679.0,2,5.48,97.0,5.73,97.0,37.2,3128.97793,11.8,0.56,11.8,0,1
2000,47.8,647.0,2,5.37,97.0,4.64,97.0,38.8,3349.68823,12.3,0.559,11.7,0,1
2014,74.8,144.0,44,7.32,96.0,8.32,93.0,0.1,1226.61731,2.7,0.747,15.2,0,1
2013,74.7,146.0,46,7.24,96.0,8.48,97.0,0.1,12216.9446,2.8,0.734,14.2,0,1
2012,74.5,148.0,49,7.55,96.0,8.26,95.0,0.1,12291.46685,2.8,0.73,14.2,0,1
2011,74.1,152.0,51,7.58,98.0,8.9,99.0,0.1,13167.47289,2.9,0.724,14.0,0,1
2010,73.8,154.0,54,7.52,99.0,8.27,99.0,0.1,11224.1548,2.9,0.716,13.8,0,1
2009,73.6,157.0,57,7.33,99.0,8.65,99.0,0.1,8553.3847,3.0,0.714,13.8,0,1
2008,73.4,158.0,61,7.21,99.0,8.24,99.0,0.1,8787.61375,3.0,0.704,13.3,0,1
2007,73.3,159.0,65,7.19,99.0,8.28,99.0,0.1,7313.557962,3.1,0.7,13.5,0,1
2006,73.0,161.0,70,7.1,99.0,8.36,99.0,0.1,586.145975,3.1,0.698,13.8,0,1
2005,72.7,163.0,75,6.97,99.0,8.27,99.0,0.1,477.182746,3.2,0.694,13.8,0,1
2004,72.0,17.0,81,6.85,99.0,7.7,99.0,0.1,3623.47667,3.2,0.695,14.0,0,1
2003,71.8,172.0,88,6.95,99.0,6.94,99.0,0.1,359.587582,3.3,0.699,14.8,0,1
2002,71.4,176.0,95,7.0,99.0,7.13,99.0,0.1,2819.649531,3.3,0.692,14.6,0,1
2001,71.0,179.0,103,7.13,99.0,7.19,98.0,0.1,3146.95177,3.4,0.685,14.3,0,1
2000,75.0,183.0,111,7.26,99.0,7.3,98.0,0.1,3739.11936,3.4,0.677,14.1,0,1
2014,77.6,8.0,0,0.01,99.0,2.65,99.0,0.1,4159.8652,5.7,0.863,15.0,0,1
2013,77.1,84.0,0,0.01,99.0,2.61,99.0,0.1,44597.27968,5.8,0.86,14.9,0,1
2012,78.3,79.0,0,0.01,99.0,2.3,99.0,0.1,47651.2599,5.8,0.852,14.4,0,1
2011,77.4,79.0,0,0.97,99.0,2.25,97.0,0.1,4717.273,5.9,0.846,14.1,0,1
2010,76.9,79.0,0,0.88,99.0,2.73,95.0,0.1,35268.1117,5.9,0.845,14.2,0,1
2009,76.8,88.0,0,0.25,99.0,2.85,99.0,0.1,27965.4754,6.0,0.841,14.1,0,1
2008,77.2,84.0,0,0.67,97.0,2.23,98.0,0.1,37951.286,6.1,0.84,14.2,0,1
2007,76.0,1.0,0,0.85,95.0,2.32,99.0,0.1,32672.36717,6.2,0.84,14.3,0,1
2006,76.3,93.0,0,0.67,94.0,2.24,97.0,0.1,398.96692,6.3,0.837,14.3,0,1
2005,76.2,92.0,0,0.16,93.0,2.62,94.0,0.1,2612.13345,6.4,0.834,14.1,0,1
2004,76.4,89.0,0,0.11,92.0,3.1,92.0,0.1,21896.6527,6.5,0.828,13.7,0,1
2003,76.0,89.0,0,0.12,99.0,3.9,92.0,0.1,18555.56649,6.6,0.823,13.4,0,1
2002,74.8,95.0,0,0.13,99.0,3.4,94.0,0.1,16846.2198,6.7,0.82,13.3,0,1
2001,74.7,19.0,0,0.47,99.0,3.6,97.0,0.1,16468.12886,6.8,0.819,13.4,0,1
2000,74.4,16.0,0,0.37,99.0,3.5,99.0,0.1,188.44826,6.8,0.818,13.4,0,1
2014,74.3,138.0,1,12.03,88.0,8.44,88.0,0.1,7853.335191,1.9,0.787,14.8,1,0
2013,74.1,14.0,1,12.06,95.0,7.93,95.0,0.1,7674.86559,1.9,0.781,14.4,1,0
2012,73.9,139.0,1,10.99,95.0,7.11,95.0,0.1,7378.25539,1.9,0.778,14.3,1,0
2011,73.7,144.0,1,10.67,95.0,6.88,95.0,0.1,7813.83499,2.0,0.775,14.2,1,0
2010,73.4,147.0,1,10.8,94.0,7.24,94.0,0.1,6843.263289,2.0,0.77,13.9,1,0
2009,73.2,152.0,1,10.93,94.0,6.78,94.0,0.1,6955.987733,2.0,0.768,13.8,1,0
2008,72.9,155.0,1,10.98,96.0,6.61,95.0,0.1,7296.122479,2.1,0.761,13.8,1,0
2007,72.6,157.0,1,10.89,95.0,6.41,95.0,0.1,5932.899677,2.1,0.755,13.5,1,0
2006,72.2,161.0,1,10.39,96.0,6.67,95.0,0.1,4513.13628,2.2,0.75,13.5,1,0
2005,72.1,16.0,1,10.48,97.0,7.8,96.0,0.1,3893.68998,2.2,0.745,13.5,1,0
2004,72.2,157.0,1,10.96,94.0,7.9,95.0,0.1,3381.57837,2.3,0.738,13.3,1,0
2003,72.0,155.0,1,11.19,96.0,7.43,96.0,0.1,271.46824,2.3,0.729,12.9,1,0
2002,71.8,157.0,1,10.2,94.0,7.41,93.0,0.1,287.534843,2.4,0.723,12.9,1,0
2001,71.6,16.0,1,10.72,94.0,7.23,94.0,0.1,1764.97387,2.4,0.713,12.9,1,0
2000,71.1,163.0,1,9.69,94.0,6.7,93.0,0.1,169.28586,2.5,0.709,12.9,1,0
2014,59.3,268.0,39,0.01,91.0,4.96,91.0,0.6,75.1464113,8.2,0.398,7.7,0,1
2013,59.0,27.0,40,4.64,89.0,5.91,88.0,0.7,699.452847,8.4,0.392,7.5,0,1
2012,58.6,271.0,41,4.75,9.0,5.33,9.0,0.8,673.8227,8.6,0.384,7.2,0,1
2011,58.1,275.0,42,4.51,9.0,5.17,91.0,0.9,666.842783,8.8,0.377,6.7,0,1
2010,57.5,279.0,43,4.55,9.0,7.17,91.0,1.0,575.4464527,9.0,0.365,6.3,0,1
2009,56.9,283.0,44,4.55,91.0,7.41,92.0,1.1,552.7455521,9.3,0.356,5.9,0,1
2008,56.1,288.0,45,4.5,92.0,6.77,93.0,1.5,569.7612784,9.5,0.345,5.4,0,1
2007,55.3,293.0,46,4.58,93.0,6.63,89.0,1.7,475.11122,9.8,0.334,4.9,0,1
2006,54.3,32.0,47,4.73,94.0,6.58,86.0,2.0,422.6332374,1.0,0.325,4.7,0,1
2005,53.3,313.0,48,4.88,94.0,6.87,82.0,2.3,46.998871,1.3,0.0,4.3,0,1
2004,52.4,323.0,49,4.54,83.0,6.45,79.0,2.5,371.323865,1.5,0.0,3.9,0,1
2003,51.6,332.0,49,4.58,83.0,5.61,79.0,2.9,332.344351,1.7,0.0,3.8,0,1
2002,51.0,338.0,49,4.53,69.0,5.26,69.0,3.2,26.7635413,11.0,0.0,3.6,0,1
2001,56.0,344.0,48,4.56,62.0,4.85,62.0,3.6,235.4912324,11.2,0.0,3.5,0,1
2000,51.0,348.0,48,3.71,45.0,5.6,45.0,4.0,226.4759814,11.4,0.0,3.4,0,1
2014,59.1,297.0,22,0.01,95.0,7.54,95.0,0.7,312.7489794,7.4,0.404,10.6,0,1
2013,58.6,33.0,22,0.01,96.0,8.3,96.0,1.0,282.7555252,7.4,0.398,10.5,0,1
2012,58.0,312.0,22,0.01,96.0,8.21,96.0,1.2,265.285651,7.5,0.393,10.3,0,1
2011,57.4,321.0,22,4.16,95.0,8.58,96.0,1.5,26.479973,7.6,0.385,9.9,0,1
2010,56.8,33.0,23,4.16,94.0,8.82,96.0,1.9,231.1943256,7.7,0.361,9.3,0,1
2009,56.2,338.0,23,4.05,96.0,6.96,94.0,2.4,24.944652,7.8,0.336,8.6,0,1
2008,55.3,35.0,23,4.33,89.0,7.86,92.0,2.9,196.2472628,7.9,0.319,7.9,0,1
2007,54.8,355.0,24,4.54,93.0,1.3,99.0,3.4,17.79995,8.0,0.309,7.2,0,1
2006,54.1,361.0,24,4.5,88.0,11.49,92.0,3.8,165.8794176,8.1,0.29,5.9,0,1
2005,53.4,369.0,24,5.54,82.0,9.84,87.0,4.3,15.57434,8.2,0.286,5.6,0,1
2004,52.6,378.0,24,5.72,76.0,7.1,83.0,4.8,127.4296648,8.4,0.279,5.2,0,1
2003,51.9,387.0,24,5.84,75.0,5.25,82.0,5.1,112.849373,8.5,0.276,4.7,0,1
2002,51.5,387.0,24,5.98,74.0,5.15,81.0,5.2,122.4335893,8.7,0.268,4.4,0,1
2001,51.3,385.0,25,6.09,72.0,4.96,81.0,5.3,133.7427689,8.8,0.268,4.5,0,1
2000,58.0,386.0,25,6.61,71.0,4.98,8.0,5.2,135.9984455,9.0,0.268,4.5,0,1
2014,73.0,117.0,0,0.01,95.0,4.76,95.0,0.2,3529.61843,6.8,0.643,13.5,0,1
2013,72.8,12.0,0,0.01,93.0,4.29,93.0,0.2,3558.796314,6.9,0.643,13.6,0,1
2012,72.7,121.0,0,0.01,94.0,4.61,94.0,0.3,348.482762,7.1,0.636,13.2,0,1
2011,72.6,122.0,0,5.07,9.0,4.6,9.0,0.3,367.429453,7.3,0.632,13.1,0,1
2010,72.5,123.0,0,4.75,99.0,4.83,99.0,0.4,3312.825985,7.4,0.627,12.7,0,1
2009,72.4,124.0,0,4.45,99.0,4.24,99.0,0.4,3444.5566,7.6,0.621,12.4,0,1
2008,72.4,124.0,0,4.16,99.0,3.96,99.0,0.4,3638.95946,7.8,0.615,12.2,0,1
2007,72.3,126.0,0,5.28,98.0,4.3,98.0,0.6,3112.285712,8.1,0.602,11.9,0,1
2006,72.1,129.0,0,4.25,97.0,5.11,96.0,0.6,234.28992,8.3,0.596,11.9,0,1
2005,71.8,134.0,0,4.26,95.0,4.86,95.0,0.8,248.13459,8.5,0.582,11.2,0,1
2004,71.4,14.0,0,4.19,94.0,5.6,93.0,0.8,1976.45856,8.7,0.574,11.1,0,1
2003,71.1,144.0,0,4.16,93.0,5.0,92.0,0.9,1768.92132,8.9,0.572,11.3,0,1
2002,77.0,148.0,0,3.82,92.0,5.17,91.0,0.8,1373.515636,9.2,0.569,11.3,0,1
2001,73.0,152.0,0,3.81,91.0,5.19,9.0,0.8,1268.884564,9.4,0.562,11.0,0,1
2000,69.9,155.0,0,3.49,9.0,4.81,9.0,0.8,1239.377855,9.6,0.0,11.3,0,1
2014,68.3,179.0,11,0.01,87.0,5.68,88.0,0.2,198.687123,1.9,0.553,10.9,0,1
2013,67.8,183.0,11,0.01,66.0,5.93,83.0,0.2,128.419568,11.0,0.546,10.8,0,1
2012,67.4,186.0,12,0.01,84.0,6.24,86.0,0.3,95.244132,11.0,0.54,10.7,0,1
2011,67.0,19.0,13,2.12,87.0,5.64,88.0,0.3,882.491462,11.0,0.533,10.7,0,1
2010,66.6,192.0,14,2.2,88.0,5.95,89.0,0.5,785.6928841,11.0,0.519,10.6,0,1
2009,66.1,195.0,15,2.13,95.0,6.36,94.0,0.6,738.2326684,11.1,0.52,10.5,0,1
2008,65.6,199.0,16,2.24,91.0,5.55,91.0,0.7,745.7877873,11.2,0.511,10.5,0,1
2007,65.0,24.0,16,2.08,82.0,3.75,82.0,0.9,631.675789,11.3,0.495,10.3,0,1
2006,64.1,216.0,17,2.03,8.0,4.48,8.0,1.1,539.8791529,11.4,0.483,10.1,0,1
2005,62.9,234.0,18,1.99,82.0,5.84,82.0,1.4,474.2238766,11.5,0.47,10.0,0,1
2004,61.5,253.0,19,1.38,86.0,6.43,85.0,1.7,48.615184,11.6,0.458,9.7,0,1
2003,63.0,268.0,21,1.44,69.0,6.74,69.0,1.9,362.4213785,11.6,0.445,9.3,0,1
2002,59.3,273.0,23,1.43,54.0,5.95,54.0,2.1,339.676984,11.6,0.427,8.2,0,1
2001,58.5,273.0,25,1.71,59.0,5.7,6.0,2.2,321.22634,11.6,0.412,7.6,0,1
2000,57.7,274.0,27,1.51,62.0,5.87,59.0,2.1,3.685949,11.6,0.401,7.2,0,1
2014,56.7,366.0,47,0.01,86.0,4.1,87.0,3.7,1441.1417,5.7,0.507,10.4,0,1
2013,56.4,364.0,48,0.01,88.0,4.29,89.0,4.0,1365.34419,5.8,0.501,10.4,0,1
2012,55.9,369.0,50,0.01,85.0,4.34,85.0,4.6,1255.648189,5.9,0.496,10.4,0,1
2011,55.6,371.0,51,6.19,8.0,3.96,82.0,4.9,1295.649726,6.0,0.486,10.0,0,1
2010,55.3,37.0,53,6.15,83.0,5.28,84.0,5.5,1182.869227,6.1,0.48,9.7,0,1
2009,54.8,373.0,54,5.89,79.0,5.7,8.0,6.3,123.19538,6.3,0.473,9.2,0,1
2008,54.2,382.0,56,5.9,82.0,5.18,84.0,6.7,1233.524316,6.4,0.466,8.8,0,1
2007,53.6,395.0,57,5.44,81.0,4.76,82.0,7.0,111.71186,6.6,0.456,8.0,0,1
2006,53.3,394.0,58,5.22,78.0,4.69,81.0,7.2,12.989164,6.7,0.456,8.2,0,1
2005,52.8,4.0,58,5.03,79.0,4.75,8.0,7.4,952.1872484,6.9,0.456,8.3,0,1
2004,52.1,412.0,59,4.71,72.0,4.73,73.0,7.5,93.211716,7.0,0.455,8.2,0,1
2003,51.8,412.0,60,4.64,72.0,4.97,73.0,7.7,824.8689393,7.2,0.452,8.1,0,1
2002,51.6,47.0,60,4.58,66.0,4.86,66.0,7.8,676.397661,7.4,0.452,8.4,0,1
2001,51.5,41.0,61,4.43,61.0,4.7,63.0,7.9,614.6729339,7.5,0.437,7.1,0,1
2000,51.4,394.0,62,3.91,57.0,4.48,62.0,7.7,68.414399,7.7,0.433,6.9,0,1
2014,82.0,65.0,2,8.1,91.0,1.45,91.0,0.1,544.43376,0.5,0.912,15.9,0,1
2013,81.8,67.0,2,8.2,91.0,1.67,91.0,0.1,52413.72116,0.5,0.909,15.9,0,1
2012,81.6,68.0,2,8.3,99.0,1.78,95.0,0.1,52496.69487,0.5,0.907,15.9,0,1
2011,81.5,68.0,2,8.2,87.0,1.82,87.0,0.1,5282.2176,0.5,0.903,15.9,0,1
2010,81.2,7.0,2,8.4,88.0,11.2,89.0,0.1,47447.4762,0.5,0.898,15.9,0,1
2009,81.0,72.0,2,8.4,89.0,11.17,91.0,0.1,4773.45436,0.5,0.898,15.9,0,1
2008,87.0,74.0,2,8.3,89.0,1.3,92.0,0.1,46596.33599,0.5,0.897,15.8,0,1
2007,85.0,74.0,2,8.3,9.0,9.83,94.0,0.1,44544.5268,0.5,0.894,15.8,0,1
2006,85.0,75.0,2,8.2,95.0,9.75,95.0,0.1,4386.69948,0.5,0.891,15.8,0,1
2005,81.0,76.0,2,8.0,93.0,9.57,93.0,0.1,36189.58838,0.5,0.886,15.8,0,1
2004,80.0,77.0,2,7.8,91.0,9.56,91.0,0.1,31979.87195,0.5,0.881,15.8,0,1
2003,79.7,78.0,2,7.7,88.0,9.54,91.0,0.1,28172.14883,0.5,0.877,15.8,0,1
2002,79.5,79.0,2,7.7,88.0,9.37,88.0,0.1,24167.8431,0.5,0.872,15.8,0,1
2001,79.4,8.0,2,7.6,88.0,9.1,89.0,0.1,23691.59472,0.5,0.867,15.8,0,1
2000,79.1,82.0,2,7.6,88.0,8.67,89.0,0.1,24124.16917,0.5,0.864,15.9,0,1
2014,58.0,437.0,15,0.01,47.0,4.2,47.0,4.5,377.132274,8.4,0.345,7.1,0,1
2013,49.9,451.0,16,0.01,23.0,3.82,23.0,5.1,337.4849614,8.5,0.37,7.1,0,1
2012,53.0,439.0,16,0.01,47.0,3.62,47.0,5.1,486.41114,8.7,0.366,7.1,0,1
2011,49.8,443.0,16,1.66,47.0,3.73,47.0,5.8,494.336779,8.8,0.361,6.8,0,1
2010,49.2,446.0,17,1.67,46.0,3.9,45.0,6.6,446.4434494,9.0,0.352,6.6,0,1
2009,48.6,453.0,17,1.56,45.0,3.58,42.0,7.3,449.961839,9.1,0.345,6.4,0,1
2008,47.6,477.0,17,1.52,46.0,4.3,45.0,8.3,456.8614334,9.3,0.338,6.3,0,1
2007,46.8,495.0,17,1.5,46.0,4.4,48.0,9.0,397.148467,9.4,0.33,6.2,0,1
2006,46.3,56.0,17,1.54,47.0,3.99,51.0,10.0,347.673678,9.6,0.323,6.0,0,1
2005,45.9,511.0,17,1.5,47.0,4.29,54.0,11.2,327.1149461,9.7,0.319,5.9,0,1
2004,45.7,512.0,17,1.5,45.0,4.1,51.0,12.0,313.21598,9.9,0.315,5.7,0,1
2003,45.7,51.0,17,1.49,44.0,4.31,47.0,12.8,286.25819,1.0,0.316,5.6,0,1
2002,45.6,58.0,17,1.47,42.0,4.16,44.0,13.4,253.768343,1.2,0.315,5.4,0,1
2001,45.6,54.0,17,1.52,4.0,3.95,4.0,13.9,243.1586486,1.4,0.314,5.3,0,1
2000,46.0,49.0,16,1.51,38.0,4.24,37.0,14.3,243.5429317,1.5,0.312,5.2,0,1
2014,52.6,362.0,46,0.01,44.0,3.62,37.0,2.9,125.998515,8.7,0.39,7.3,0,1
2013,52.2,366.0,46,0.64,46.0,3.42,39.0,3.1,986.13177,8.8,0.387,7.3,0,1
2012,51.8,367.0,46,0.62,51.0,3.0,4.0,3.6,973.472574,9.0,0.381,7.3,0,1
2011,51.6,365.0,46,0.56,4.0,3.17,33.0,3.9,989.2363633,9.2,0.37,6.7,0,1
2010,51.2,364.0,46,0.5,43.0,2.95,39.0,4.1,896.5697341,9.4,0.36,6.7,0,1
2009,57.0,37.0,46,0.47,32.0,3.31,24.0,4.4,84.455939,9.6,0.343,6.3,0,1
2008,49.6,394.0,46,0.45,3.0,2.92,19.0,4.7,929.772391,9.8,0.338,6.0,0,1
2007,49.4,394.0,46,0.42,38.0,3.35,28.0,4.9,81.683884,1.0,0.306,5.7,0,1
2006,48.5,414.0,45,0.41,49.0,3.32,4.0,5.1,712.1847694,1.3,0.303,5.5,0,1
2005,48.6,46.0,45,0.42,37.0,3.91,25.0,5.2,66.2421396,1.5,0.306,5.6,0,1
2004,48.5,45.0,44,0.34,31.0,5.72,21.0,5.2,454.6765879,1.7,0.301,5.6,0,1
2003,48.4,43.0,44,0.42,36.0,5.49,23.0,5.1,292.5914364,1.9,0.284,5.4,0,1
2002,48.1,43.0,43,0.36,31.0,8.33,25.0,5.0,22.854821,11.1,0.303,5.1,0,1
2001,48.0,4.0,42,0.3,26.0,6.9,26.0,4.8,197.3156442,11.3,0.3,4.9,0,1
2000,47.6,44.0,41,0.25,3.0,6.28,36.0,4.6,166.231785,11.5,0.0,4.7,0,1
2014,83.0,83.0,2,7.16,95.0,7.79,95.0,0.1,14817.37778,0.8,0.841,16.2,0,1
2013,81.0,84.0,2,7.2,9.0,7.53,91.0,0.1,15941.39722,0.8,0.831,15.6,0,1
2012,79.9,84.0,2,6.76,9.0,7.24,9.0,0.1,15431.9293,0.8,0.826,15.5,0,1
2011,79.8,86.0,2,7.26,93.0,7.0,94.0,0.1,1475.69242,0.8,0.82,15.4,0,1
2010,79.1,89.0,2,7.93,92.0,6.97,92.0,0.1,1286.17764,0.8,0.815,15.2,0,1
2009,79.3,91.0,2,7.67,94.0,7.39,94.0,0.1,1243.32824,0.8,0.816,15.3,0,1
2008,79.6,88.0,2,7.31,95.0,6.87,95.0,0.1,1781.3668,0.9,0.804,15.2,0,1
2007,78.9,9.0,2,7.39,95.0,6.35,96.0,0.1,1526.87746,0.9,0.797,14.8,0,1
2006,78.9,91.0,2,7.33,94.0,6.18,94.0,0.1,9484.681227,0.9,0.796,14.9,0,1
2005,78.4,93.0,2,7.57,92.0,6.69,91.0,0.1,7615.3468,0.9,0.79,14.6,0,1
2004,78.0,97.0,2,6.32,94.0,6.93,93.0,0.1,621.828325,0.9,0.781,14.3,0,1
2003,77.9,1.0,2,6.37,96.0,7.34,96.0,0.1,4787.699532,1.0,0.775,14.0,0,1
2002,77.8,11.0,2,6.06,97.0,6.48,97.0,0.1,4463.545867,1.0,0.768,13.9,0,1
2001,77.3,16.0,2,6.1,96.0,6.51,97.0,0.1,4595.666327,1.0,0.761,13.7,0,1
2000,77.3,13.0,2,6.24,91.0,6.4,91.0,0.1,511.368479,1.1,0.755,13.5,0,1
2014,75.8,86.0,171,5.78,99.0,5.55,99.0,0.1,7683.5238,3.7,0.723,13.1,0,1
2013,75.6,88.0,185,5.79,99.0,5.39,99.0,0.1,777.77594,3.8,0.713,12.7,0,1
2012,75.4,89.0,201,5.74,99.0,5.26,99.0,0.1,6337.882993,3.9,0.703,12.4,0,1
2011,75.2,91.0,215,5.63,99.0,5.3,99.0,0.1,5633.79616,4.1,0.7,12.8,0,1
2010,75.0,92.0,231,5.75,99.0,4.89,99.0,0.1,456.512487,4.2,0.691,12.5,0,1
2009,74.9,93.0,248,4.88,99.0,5.8,99.0,0.1,3838.434292,4.4,0.682,12.2,0,1
2008,74.5,97.0,266,4.27,99.0,4.59,97.0,0.1,3471.247547,4.5,0.672,11.9,0,1
2007,74.4,96.0,285,3.88,94.0,4.32,93.0,0.1,2695.366223,4.7,0.659,11.4,0,1
2006,74.2,98.0,307,3.28,94.0,4.52,93.0,0.1,299.229676,4.8,0.646,11.0,0,1
2005,73.9,99.0,332,2.92,87.0,4.66,87.0,0.1,1753.4178,5.0,0.634,10.6,0,1
2004,73.5,11.0,360,3.04,87.0,4.72,87.0,0.1,158.668462,5.1,0.622,10.2,0,1
2003,73.1,13.0,391,2.96,87.0,4.82,86.0,0.1,1288.642924,5.3,0.61,9.9,0,1
2002,72.7,16.0,422,2.91,86.0,4.79,86.0,0.1,1148.5857,5.5,0.6,9.7,0,1
2001,72.2,11.0,457,2.84,86.0,4.56,86.0,0.1,153.1824,5.7,0.592,9.6,0,1
2000,71.7,115.0,490,3.06,86.0,4.6,85.0,0.1,959.372181,5.9,0.583,9.5,0,1
2014,74.6,144.0,11,4.38,9.0,7.2,9.0,0.1,7913.383432,2.1,0.72,13.6,0,1
2013,74.4,145.0,11,4.41,91.0,6.84,91.0,0.1,83.5863,2.1,0.712,13.3,0,1
2012,74.3,143.0,11,4.44,91.0,6.93,91.0,0.1,7884.984429,2.1,0.707,13.2,0,1
2011,74.2,144.0,12,4.37,85.0,6.64,85.0,0.1,7227.73968,2.2,0.7,13.0,0,1
2010,73.6,15.0,12,4.28,88.0,6.76,88.0,0.1,625.65544,2.2,0.695,12.8,0,1
2009,73.6,15.0,13,4.34,92.0,7.1,92.0,0.1,5148.422113,2.2,0.691,12.4,0,1
2008,73.5,146.0,14,4.45,92.0,6.62,92.0,0.1,5433.7245,2.3,0.683,12.2,0,1
2007,73.5,144.0,14,4.66,93.0,6.25,93.0,0.1,4674.21961,2.3,0.675,11.9,0,1
2006,73.1,147.0,15,4.53,94.0,6.11,93.0,0.1,379.78776,2.3,0.669,11.5,0,1
